nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,data_source
NED,MF,26,1999,10.6,2,17,4,23.5,1.61,0.38,0.12,0.5,0,0,big5_club
ENG,"MF,DF",28,1997,9.7,0,3,0,0.0,0.31,0.0,0.0,,0,0,big5_club
ARG,DF,28,1997,36.5,0,17,5,29.4,0.47,0.14,0.0,0.0,0,0,big5_club
ENG,MF,26,1999,30.4,7,70,24,34.3,2.31,0.79,0.07,0.21,2,2,big5_club
BRA,MF,18,2006,12.3,5,28,8,28.6,2.27,0.65,0.18,0.63,0,0,big5_club
SCO,MF,30,1995,11.0,2,25,8,32.0,2.27,0.73,0.08,0.25,0,0,big5_club
USA,MF,26,1999,19.7,2,10,6,60.0,0.51,0.3,0.2,0.33,0,0,big5_club
SRB,DF,18,2007,4.1,0,1,0,0.0,0.24,0.0,0.0,,0,0,big5_club
ESP,"DF,MF",20,2005,25.7,1,21,4,19.0,0.82,0.16,0.05,0.25,0,0,big5_club
SRB,GK,25,1999,38.0,0,0,0,,0.0,0.0,,,0,0,big5_club
SCO,"DF,MF",23,2002,7.7,0,6,1,16.7,0.78,0.13,0.0,0.0,0,0,big5_club
NED,MF,20,2005,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
IRL,GK,26,1998,37.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BFA,MF,23,2002,25.3,7,56,20,35.7,2.21,0.79,0.13,0.35,0,0,big5_club
JAM,DF,32,1993,3.5,0,1,1,100.0,0.28,0.28,0.0,0.0,0,0,big5_club
POR,MF,22,2002,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,0,0,big5_club
NGA,MF,27,1998,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ISL,GK,23,2001,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BRA,FW,24,2001,36.5,22,84,43,51.2,2.3,1.18,0.17,0.33,8,9,big5_club
ENG,MF,35,1990,21.3,1,6,1,16.7,0.28,0.05,0.17,1.0,0,0,big5_club
ENG,MF,26,1998,0.0,0,1,0,0.0,30.0,0.0,0.0,,0,0,big5_club
BEL,FW,18,2007,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,"DF,MF",24,2001,21.9,3,31,9,29.0,1.41,0.41,0.1,0.33,0,0,big5_club
GER,"MF,FW",23,2001,30.5,8,57,24,42.1,1.87,0.79,0.14,0.33,0,1,big5_club
NOR,DF,27,1998,20.1,0,10,3,30.0,0.5,0.15,0.0,0.0,0,0,big5_club
DEN,MF,29,1996,25.0,3,29,8,27.6,1.16,0.32,0.1,0.38,0,0,big5_club
ITA,DF,21,2004,36.2,1,9,3,33.3,0.25,0.08,0.11,0.33,0,0,big5_club
DEN,MF,25,2000,22.8,4,29,11,37.9,1.27,0.48,0.14,0.36,0,0,big5_club
ENG,MF,22,2002,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
IRL,DF,24,2001,33.1,1,20,6,30.0,0.61,0.18,0.05,0.17,0,0,big5_club
ENG,"FW,MF",25,1999,1.4,0,5,1,20.0,3.57,0.71,0.0,0.0,0,0,big5_club
JAM,DF,28,1997,14.8,0,5,0,0.0,0.34,0.0,0.0,,0,0,big5_club
ENG,FW,18,2006,0.5,0,3,1,33.3,6.59,2.2,0.0,0.0,0,0,big5_club
NED,DF,23,2001,30.7,0,23,7,30.4,0.75,0.23,0.0,0.0,0,0,big5_club
GER,MF,27,1998,16.0,1,12,3,25.0,0.75,0.19,0.08,0.33,0,0,big5_club
UKR,MF,21,2004,29.5,1,16,4,25.0,0.54,0.14,0.06,0.25,0,0,big5_club
NED,GK,22,2002,38.0,0,0,0,,0.0,0.0,,,0,0,big5_club
GER,MF,21,2004,8.0,1,16,6,37.5,2.0,0.75,0.06,0.17,0,0,big5_club
CMR,MF,21,2004,18.4,0,20,2,10.0,1.09,0.11,0.0,0.0,0,0,big5_club
GRE,FW,18,2007,4.1,2,21,8,38.1,5.12,1.95,0.1,0.25,0,0,big5_club
ENG,FW,34,1990,25.1,13,56,28,50.0,2.23,1.12,0.21,0.43,1,3,big5_club
ITA,DF,21,2003,2.2,0,0,0,,0.0,0.0,,,0,0,big5_club
PAR,"MF,FW",22,2003,23.6,5,42,14,33.3,1.78,0.59,0.12,0.36,0,0,big5_club
TUR,"DF,MF",25,1999,34.8,1,28,13,46.4,0.8,0.37,0.04,0.08,0,0,big5_club
FRA,"MF,FW",23,2002,19.8,3,42,14,33.3,2.12,0.71,0.07,0.21,0,0,big5_club
ENG,MF,17,2008,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,20,2005,19.3,4,37,15,40.5,1.91,0.78,0.11,0.27,0,0,big5_club
ENG,MF,39,1986,8.7,1,8,2,25.0,0.92,0.23,0.0,0.0,1,1,big5_club
NED,DF,25,2000,35.7,3,23,10,43.5,0.64,0.28,0.13,0.3,0,0,big5_club
ENG,MF,19,2005,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
NED,DF,33,1992,11.7,1,4,1,25.0,0.34,0.09,0.25,1.0,0,0,big5_club
JPN,"MF,FW",28,1997,19.1,3,32,13,40.6,1.67,0.68,0.09,0.23,0,0,big5_club
ENG,DF,33,1991,31.5,1,23,3,13.0,0.73,0.1,0.04,0.33,0,0,big5_club
NED,DF,25,1999,21.1,2,18,6,33.3,0.85,0.28,0.11,0.33,0,0,big5_club
DEN,MF,24,2000,2.3,1,4,2,50.0,1.76,0.88,0.0,0.0,1,1,big5_club
BEL,"DF,MF",24,2000,15.7,2,13,6,46.2,0.83,0.38,0.15,0.33,0,0,big5_club
ENG,MF,18,2007,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,DF,27,1997,8.9,0,1,0,0.0,0.11,0.0,0.0,,0,0,big5_club
GER,MF,34,1991,18.2,1,18,9,50.0,0.99,0.5,0.06,0.11,0,0,big5_club
ENG,MF,31,1994,0.5,0,1,1,100.0,2.2,2.2,0.0,0.0,0,0,big5_club
GRE,FW,19,2006,1.5,1,4,1,25.0,2.59,0.65,0.25,1.0,0,0,big5_club
ENG,MF,19,2006,0.7,0,1,1,100.0,1.45,1.45,0.0,0.0,0,0,big5_club
GAM,MF,21,2004,26.6,3,41,11,26.8,1.54,0.41,0.07,0.27,0,0,big5_club
SWE,MF,21,2003,21.4,3,41,10,24.4,1.91,0.47,0.07,0.3,0,0,big5_club
ALB,FW,23,2001,9.6,1,16,6,37.5,1.67,0.63,0.06,0.17,0,0,big5_club
ENG,"FW,MF",35,1989,0.5,0,2,1,50.0,3.83,1.91,0.0,0.0,0,0,big5_club
COD,DF,27,1997,13.3,1,2,1,50.0,0.15,0.07,0.5,1.0,0,0,big5_club
ENG,"DF,MF",22,2003,17.5,0,9,3,33.3,0.51,0.17,0.0,0.0,0,0,big5_club
POR,MF,25,1999,23.4,0,13,2,15.4,0.56,0.09,0.0,0.0,0,0,big5_club
TUN,MF,22,2003,13.7,1,19,5,26.3,1.39,0.37,0.05,0.2,0,0,big5_club
SWE,DF,26,1998,17.1,0,6,1,16.7,0.35,0.06,0.0,0.0,0,0,big5_club
DEN,"MF,FW",26,1998,11.4,0,17,4,23.5,1.49,0.35,0.0,0.0,0,0,big5_club
ENG,MF,25,1999,30.2,8,55,23,41.8,1.82,0.76,0.15,0.35,0,0,big5_club
ENG,MF,30,1994,7.6,0,3,2,66.7,0.39,0.26,0.0,0.0,0,0,big5_club
NED,"FW,MF",20,2004,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,DF,28,1997,5.6,0,1,0,0.0,0.18,0.0,0.0,,0,0,big5_club
IRL,MF,29,1996,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0,big5_club
ENG,"DF,MF",30,1995,19.6,1,15,4,26.7,0.77,0.2,0.07,0.25,0,0,big5_club
ENG,"DF,MF",35,1990,34.4,0,4,0,0.0,0.12,0.0,0.0,,0,0,big5_club
FRA,MF,21,2004,26.0,3,23,8,34.8,0.89,0.31,0.13,0.38,0,0,big5_club
FRA,"MF,FW",21,2003,14.1,2,23,9,39.1,1.63,0.64,0.09,0.22,0,0,big5_club
BRA,"MF,DF",24,2001,15.7,0,16,4,25.0,1.02,0.26,0.0,0.0,0,0,big5_club
RSA,"FW,MF",24,2000,15.2,3,20,6,30.0,1.31,0.39,0.15,0.5,0,0,big5_club
ENG,"MF,FW",26,1998,11.9,1,23,6,26.1,1.94,0.51,0.04,0.17,0,0,big5_club
SVK,GK,36,1989,35.0,0,0,0,,0.0,0.0,,,0,0,big5_club
GER,GK,21,2004,3.0,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,DF,23,2002,32.6,0,10,1,10.0,0.31,0.03,0.0,0.0,0,0,big5_club
BEL,"FW,MF",26,1999,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
PER,DF,24,2000,1.9,1,3,1,33.3,1.6,0.53,0.33,1.0,0,0,big5_club
NED,DF,23,2001,20.3,0,9,3,33.3,0.44,0.15,0.0,0.0,0,0,big5_club
SUI,"FW,MF",24,2000,0.8,0,3,1,33.3,3.7,1.23,0.0,0.0,0,0,big5_club
NED,FW,26,1998,19.6,11,52,21,40.4,2.65,1.07,0.17,0.43,2,2,big5_club
ARG,MF,21,2004,14.1,1,33,7,21.2,2.34,0.5,0.03,0.14,0,0,big5_club
BRA,MF,21,2004,14.0,1,11,2,18.2,0.79,0.14,0.09,0.5,0,0,big5_club
FRA,DF,24,2001,5.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,23,2002,21.7,10,64,25,39.1,2.95,1.15,0.08,0.2,5,6,big5_club
POR,MF,20,2005,0.3,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,MF,24,2001,34.6,10,72,31,43.1,2.08,0.9,0.11,0.26,2,2,big5_club
BRA,MF,18,2007,9.4,2,28,8,28.6,2.97,0.85,0.07,0.25,0,0,big5_club
ARG,MF,20,2004,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
DEN,GK,23,2002,4.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,20,2004,5.5,0,10,2,20.0,1.82,0.36,0.0,0.0,0,0,big5_club
ENG,MF,18,2007,0.5,0,2,1,50.0,4.09,2.05,0.0,0.0,0,0,big5_club
NED,DF,19,2006,12.8,0,4,0,0.0,0.31,0.0,0.0,,0,0,big5_club
ENG,DF,19,2006,7.4,1,4,2,50.0,0.54,0.27,0.25,0.5,0,0,big5_club
BRA,"FW,MF",23,2001,29.6,15,73,28,38.4,2.47,0.95,0.21,0.54,0,0,big5_club
ENG,DF,22,2003,2.5,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,FW,22,2003,12.3,1,36,11,30.6,2.93,0.89,0.03,0.09,0,0,big5_club
FRA,"DF,MF",22,2003,25.1,2,12,6,50.0,0.48,0.24,0.17,0.33,0,0,big5_club
SEN,DF,19,2005,1.1,0,1,0,0.0,0.88,0.0,0.0,,0,0,big5_club
ESP,DF,27,1998,30.1,1,20,6,30.0,0.66,0.2,0.05,0.17,0,0,big5_club
ESP,FW,19,2006,2.9,0,12,2,16.7,4.2,0.7,0.0,0.0,0,0,big5_club
ECU,MF,23,2001,31.1,3,27,7,25.9,0.87,0.23,0.11,0.43,0,0,big5_club
POR,"MF,FW",25,2000,29.2,5,46,13,28.3,1.57,0.44,0.11,0.38,0,0,big5_club
ENG,"DF,MF",25,1999,21.8,2,22,7,31.8,1.01,0.32,0.09,0.29,0,0,big5_club
ESP,GK,27,1997,33.8,0,0,0,,0.0,0.0,,,0,0,big5_club
BEL,MF,21,2004,4.2,0,3,0,0.0,0.71,0.0,0.0,,0,0,big5_club
ENG,FW,17,2007,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,DF,27,1997,8.8,0,2,0,0.0,0.23,0.0,0.0,,0,0,big5_club
ENG,DF,26,1999,30.9,3,16,5,31.3,0.52,0.16,0.19,0.6,0,0,big5_club
ENG,FW,19,2006,1.6,0,3,2,66.7,1.86,1.24,0.0,0.0,0,0,big5_club
FRA,DF,24,2000,19.1,0,8,1,12.5,0.42,0.05,0.0,0.0,0,0,big5_club
ENG,MF,21,2004,28.4,1,32,6,18.8,1.13,0.21,0.03,0.17,0,0,big5_club
CRO,"DF,MF",27,1998,1.1,0,1,0,0.0,0.89,0.0,0.0,,0,0,big5_club
WAL,"MF,FW",24,2001,12.4,0,17,3,17.6,1.38,0.24,0.0,0.0,0,0,big5_club
MAR,DF,22,2003,6.1,0,4,2,50.0,0.65,0.33,0.0,0.0,0,0,big5_club
USA,DF,25,2000,31.4,1,15,2,13.3,0.48,0.06,0.07,0.5,0,0,big5_club
NGA,FW,22,2003,1.9,0,6,2,33.3,3.12,1.04,0.0,0.0,0,0,big5_club
JPN,MF,28,1996,21.1,0,19,4,21.1,0.9,0.19,0.0,0.0,0,0,big5_club
COL,MF,29,1996,26.7,4,26,12,46.2,0.98,0.45,0.15,0.33,0,0,big5_club
ENG,GK,28,1997,37.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,27,1998,0.9,0,6,2,33.3,6.51,2.17,0.0,0.0,0,0,big5_club
ENG,MF,26,1999,4.7,2,15,6,40.0,3.18,1.27,0.13,0.33,0,0,big5_club
CIV,MF,24,2001,3.7,1,3,1,33.3,0.82,0.27,0.33,1.0,0,0,big5_club
SEN,MF,27,1998,24.2,9,48,21,43.8,1.99,0.87,0.13,0.29,3,3,big5_club
FRA,DF,19,2006,14.8,0,7,1,14.3,0.47,0.07,0.0,0.0,0,0,big5_club
FRA,FW,28,1997,24.6,12,63,32,50.8,2.56,1.3,0.13,0.25,4,4,big5_club
COL,"MF,DF",30,1994,19.3,0,19,7,36.8,0.99,0.36,0.0,0.0,0,0,big5_club
ENG,MF,16,2009,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
NIR,"MF,FW",21,2003,8.8,1,13,4,30.8,1.47,0.45,0.0,0.0,1,1,big5_club
NOR,FW,25,2000,10.0,3,23,7,30.4,2.29,0.7,0.13,0.43,0,0,big5_club
ENG,"DF,MF",20,2004,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,DF,25,2000,20.0,2,15,4,26.7,0.75,0.2,0.13,0.5,0,0,big5_club
FRA,DF,25,2000,34.3,1,25,7,28.0,0.73,0.2,0.04,0.14,0,0,big5_club
ENG,"MF,DF",34,1991,6.6,0,3,0,0.0,0.45,0.0,0.0,,0,0,big5_club
FRA,FW,27,1998,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
TRI,MF,19,2006,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,big5_club
ENG,MF,20,2005,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,25,1999,36.1,1,19,7,36.8,0.53,0.19,0.05,0.14,0,0,big5_club
ARG,GK,32,1993,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,30,1995,17.5,0,17,0,0.0,0.97,0.0,0.0,,0,0,big5_club
ESP,"MF,FW",22,2002,23.1,2,45,11,24.4,1.95,0.48,0.04,0.18,0,0,big5_club
GNB,FW,27,1998,17.4,9,43,17,39.5,2.47,0.98,0.21,0.53,0,0,big5_club
ARG,MF,22,2002,7.7,0,20,5,25.0,2.61,0.65,0.0,0.0,0,0,big5_club
ENG,MF,25,1999,13.0,0,24,5,20.8,1.85,0.39,0.0,0.0,0,0,big5_club
ENG,MF,18,2007,5.9,0,5,2,40.0,0.85,0.34,0.0,0.0,0,0,big5_club
SEN,MF,35,1989,23.3,2,29,7,24.1,1.25,0.3,0.07,0.29,0,0,big5_club
SEN,MF,25,2000,30.9,6,43,22,51.2,1.39,0.71,0.09,0.18,2,2,big5_club
ENG,MF,29,1995,18.1,2,26,8,30.8,1.44,0.44,0.08,0.25,0,0,big5_club
IRL,DF,24,2001,34.7,1,13,6,46.2,0.37,0.17,0.08,0.17,0,0,big5_club
ENG,"MF,DF",24,2001,37.9,2,45,14,31.1,1.19,0.37,0.04,0.14,0,0,big5_club
ENG,DF,32,1992,37.0,2,20,10,50.0,0.54,0.27,0.1,0.2,0,0,big5_club
ENG,DF,23,2002,7.6,1,6,2,33.3,0.79,0.26,0.17,0.5,0,0,big5_club
ENG,GK,31,1994,38.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,26,1998,29.2,8,39,15,38.5,1.34,0.51,0.21,0.53,0,0,big5_club
GER,MF,23,2002,7.6,1,11,1,9.1,1.45,0.13,0.09,1.0,0,0,big5_club
ENG,DF,32,1993,28.8,3,27,7,25.9,0.94,0.24,0.11,0.43,0,0,big5_club
SCO,DF,23,2001,2.7,0,1,1,100.0,0.37,0.37,0.0,0.0,0,0,big5_club
IRL,DF,36,1988,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,FW,22,2002,21.3,8,38,14,36.8,1.79,0.66,0.21,0.57,0,0,big5_club
ENG,MF,22,2003,16.5,0,12,1,8.3,0.73,0.06,0.0,0.0,0,0,big5_club
ENG,MF,19,2006,4.0,0,4,0,0.0,1.01,0.0,0.0,,0,0,big5_club
ENG,MF,19,2006,2.4,0,7,3,42.9,2.89,1.24,0.0,0.0,0,0,big5_club
UKR,DF,26,1999,32.9,0,9,2,22.2,0.27,0.06,0.0,0.0,0,0,big5_club
ESP,MF,29,1996,3.0,0,5,1,20.0,1.64,0.33,0.0,0.0,0,0,big5_club
NGA,MF,29,1996,26.9,4,39,15,38.5,1.45,0.56,0.1,0.27,0,0,big5_club
USA,"DF,MF",27,1997,16.6,1,6,1,16.7,0.36,0.06,0.0,0.0,1,1,big5_club
GER,GK,33,1992,38.0,0,0,0,,0.0,0.0,,,0,0,big5_club
NGA,DF,25,1999,28.2,1,12,1,8.3,0.43,0.04,0.08,1.0,0,0,big5_club
ENG,MF,25,2000,21.4,3,36,11,30.6,1.68,0.51,0.08,0.27,0,0,big5_club
ENG,MF,30,1995,1.0,1,2,1,50.0,1.91,0.96,0.5,1.0,0,0,big5_club
WAL,MF,28,1997,29.7,10,78,25,32.1,2.63,0.84,0.13,0.4,0,0,big5_club
MAR,DF,28,1997,9.1,1,2,1,50.0,0.22,0.11,0.5,1.0,0,0,big5_club
DEN,DF,29,1996,31.9,0,16,4,25.0,0.5,0.13,0.0,0.0,0,0,big5_club
SWE,FW,18,2007,0.6,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,DF,25,1999,10.4,0,1,0,0.0,0.1,0.0,0.0,,0,0,big5_club
ENG,MF,18,2007,14.5,1,26,11,42.3,1.79,0.76,0.04,0.09,0,0,big5_club
NED,DF,29,1995,19.9,1,16,3,18.8,0.8,0.15,0.06,0.33,0,0,big5_club
BRA,MF,22,2003,11.6,1,25,10,40.0,2.16,0.86,0.04,0.1,0,0,big5_club
NOR,MF,22,2003,6.3,0,8,3,37.5,1.26,0.47,0.0,0.0,0,0,big5_club
MEX,FW,34,1991,24.3,9,73,18,24.7,3.0,0.74,0.07,0.28,4,4,big5_club
BRA,FW,24,2001,11.1,1,32,5,15.6,2.88,0.45,0.03,0.2,0,0,big5_club
ENG,"DF,MF",25,2000,20.3,3,16,4,25.0,0.79,0.2,0.19,0.75,0,0,big5_club
NGA,MF,26,1999,12.0,3,25,7,28.0,2.09,0.58,0.12,0.43,0,0,big5_club
NOR,MF,27,1998,32.3,0,14,3,21.4,0.43,0.09,0.0,0.0,0,0,big5_club
SRB,MF,28,1996,19.3,1,18,6,33.3,0.93,0.31,0.06,0.17,0,0,big5_club
BEL,"DF,MF",29,1995,20.5,0,14,6,42.9,0.68,0.29,0.0,0.0,0,0,big5_club
SCO,MF,34,1991,8.6,2,17,2,11.8,1.97,0.23,0.12,1.0,0,0,big5_club
GER,MF,26,1998,26.3,5,55,14,25.5,2.09,0.53,0.09,0.36,0,0,big5_club
JPN,MF,26,1998,14.6,2,17,5,29.4,1.16,0.34,0.12,0.4,0,0,big5_club
USA,"MF,FW",24,2000,27.2,4,47,17,36.2,1.73,0.62,0.09,0.24,0,0,big5_club
WAL,"FW,MF",27,1997,6.2,0,14,3,21.4,2.25,0.48,0.0,0.0,0,0,big5_club
ENG,FW,28,1997,30.2,14,73,34,46.6,2.41,1.12,0.14,0.29,4,5,big5_club
WAL,MF,24,2000,34.7,1,26,6,23.1,0.75,0.17,0.04,0.17,0,0,big5_club
ARG,MF,20,2004,0.4,0,2,0,0.0,4.62,0.0,0.0,,0,0,big5_club
SWE,"DF,MF",26,1999,29.2,0,18,3,16.7,0.62,0.1,0.0,0.0,0,0,big5_club
BUL,MF,25,2000,14.7,0,7,1,14.3,0.48,0.07,0.0,0.0,0,0,big5_club
ENG,FW,28,1996,3.0,0,6,2,33.3,2.01,0.67,0.0,0.0,0,0,big5_club
SVN,DF,26,1999,21.0,1,15,6,40.0,0.71,0.29,0.07,0.17,0,0,big5_club
ENG,"DF,MF",27,1998,21.1,2,24,6,25.0,1.14,0.28,0.08,0.33,0,0,big5_club
ENG,"MF,DF",25,2000,31.0,1,18,4,22.2,0.58,0.13,0.06,0.25,0,0,big5_club
WAL,DF,27,1997,32.8,2,18,7,38.9,0.55,0.21,0.11,0.29,0,0,big5_club
SUR,FW,25,1999,2.9,0,14,3,21.4,4.88,1.05,0.0,0.0,0,0,big5_club
WAL,GK,34,1990,22.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BRA,GK,27,1997,16.0,0,0,0,,0.0,0.0,,,0,0,big5_club
GER,FW,26,1998,12.0,6,30,16,53.3,2.49,1.33,0.13,0.25,2,3,big5_club
SUI,"FW,MF",25,2000,17.3,8,35,15,42.9,2.02,0.86,0.23,0.53,0,0,big5_club
NED,DF,25,1999,32.6,0,31,5,16.1,0.95,0.15,0.0,0.0,0,0,big5_club
ENG,"DF,MF",31,1993,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,27,1997,11.2,2,16,4,25.0,1.42,0.36,0.13,0.5,0,0,big5_club
BEL,DF,26,1999,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0,big5_club
ITA,FW,21,2003,6.0,0,10,0,0.0,1.68,0.0,0.0,,0,0,big5_club
SWE,FW,25,1999,7.8,3,17,6,35.3,2.19,0.77,0.18,0.5,0,0,big5_club
ARG,MF,26,1998,29.5,2,52,12,23.1,1.76,0.41,0.04,0.17,0,0,big5_club
BRA,GK,32,1992,26.0,0,0,0,,0.0,0.0,,,0,0,big5_club
SCO,DF,31,1994,13.1,1,10,3,30.0,0.77,0.23,0.1,0.33,0,0,big5_club
NED,"MF,FW",26,1999,30.4,7,87,21,24.1,2.86,0.69,0.08,0.33,0,0,big5_club
NIR,DF,22,2003,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0,big5_club
ENG,"MF,DF",24,2001,21.5,1,22,7,31.8,1.02,0.33,0.05,0.14,0,0,big5_club
HUN,"MF,DF",24,2000,35.9,6,71,23,32.4,1.98,0.64,0.08,0.26,0,1,big5_club
ITA,MF,27,1997,3.8,2,17,5,29.4,4.51,1.33,0.12,0.4,0,0,big5_club
GER,MF,22,2003,26.4,5,51,18,35.3,1.93,0.68,0.1,0.28,0,0,big5_club
ENG,GK,28,1997,2.4,0,0,0,,0.0,0.0,,,0,0,big5_club
GEO,GK,24,2000,9.6,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,"FW,MF",22,2003,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,FW,23,2002,20.0,11,65,19,29.2,3.24,0.95,0.17,0.58,0,0,big5_club
FRA,DF,26,1999,34.3,1,12,4,33.3,0.35,0.12,0.08,0.25,0,0,big5_club
NED,"DF,MF",24,2000,11.6,0,10,2,20.0,0.87,0.17,0.0,0.0,0,0,big5_club
ENG,DF,28,1997,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,0,0,big5_club
HUN,DF,21,2003,25.1,2,9,2,22.2,0.36,0.08,0.22,1.0,0,0,big5_club
EGY,MF,33,1992,23.8,7,68,19,27.9,2.85,0.8,0.09,0.32,1,1,big5_club
ENG,MF,16,2008,6.2,2,16,6,37.5,2.57,0.96,0.13,0.33,0,0,big5_club
NED,MF,23,2002,33.2,5,38,13,34.2,1.14,0.39,0.13,0.38,0,0,big5_club
ENG,MF,18,2007,0.3,0,1,0,0.0,3.75,0.0,0.0,,0,0,big5_club
NED,DF,34,1991,38.0,6,30,14,46.7,0.79,0.37,0.2,0.43,0,0,big5_club
JPN,DF,32,1993,1.9,0,1,0,0.0,0.51,0.0,0.0,,0,0,big5_club
UZB,DF,21,2004,15.9,0,7,1,14.3,0.44,0.06,0.0,0.0,0,0,big5_club
GHA,"MF,FW",25,2000,15.5,7,34,14,41.2,2.19,0.9,0.21,0.5,0,0,big5_club
POR,MF,30,1994,31.9,2,30,7,23.3,0.94,0.22,0.07,0.29,0,0,big5_club
ENG,MF,17,2007,0.3,0,0,0,,0.0,0.0,,,0,0,big5_club
NOR,FW,25,2000,32.8,27,126,59,46.8,3.84,1.8,0.19,0.41,3,4,big5_club
ITA,GK,26,1999,34.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,GK,22,2002,4.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BEL,"MF,FW",23,2002,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0,big5_club
ENG,DF,31,1994,4.9,0,0,0,,0.0,0.0,,,0,0,big5_club
CRO,DF,23,2002,15.2,2,17,6,35.3,1.12,0.39,0.12,0.33,0,0,big5_club
ENG,DF,25,2000,15.0,1,17,5,29.4,1.13,0.33,0.06,0.2,0,0,big5_club
CRO,MF,31,1994,1.4,0,2,0,0.0,1.38,0.0,0.0,,0,0,big5_club
POR,DF,26,1998,31.8,1,7,2,28.6,0.22,0.06,0.14,0.5,0,0,big5_club
ENG,DF,20,2005,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,0,0,big5_club
NED,DF,30,1995,7.7,0,7,1,14.3,0.91,0.13,0.0,0.0,0,0,big5_club
ENG,"DF,MF",20,2005,29.4,5,41,15,36.6,1.39,0.51,0.12,0.33,0,0,big5_club
ESP,MF,23,2002,17.4,1,14,2,14.3,0.8,0.11,0.07,0.5,0,0,big5_club
EGY,"FW,MF",26,1999,7.8,3,30,9,30.0,3.86,1.16,0.1,0.33,0,0,big5_club
NOR,"MF,FW",22,2003,5.2,0,4,0,0.0,0.77,0.0,0.0,,0,0,big5_club
ENG,MF,25,2000,23.2,7,55,19,34.5,2.37,0.82,0.13,0.37,0,0,big5_club
ALG,DF,24,2001,10.8,0,10,2,20.0,0.92,0.18,0.0,0.0,0,0,big5_club
FRA,MF,21,2003,19.8,4,55,13,23.6,2.77,0.66,0.07,0.31,0,0,big5_club
ENG,DF,20,2004,4.5,0,3,0,0.0,0.66,0.0,0.0,,0,0,big5_club
ESP,MF,29,1996,16.8,1,16,3,18.8,0.95,0.18,0.06,0.33,0,0,big5_club
POR,DF,28,1997,23.8,2,10,4,40.0,0.42,0.17,0.2,0.5,0,0,big5_club
BRA,MF,21,2004,9.3,1,20,11,55.0,2.16,1.19,0.05,0.09,0,0,big5_club
NED,MF,27,1998,18.1,5,49,16,32.7,2.7,0.88,0.1,0.31,0,0,big5_club
TUR,GK,27,1998,6.0,0,0,0,,0.0,0.0,,,0,0,big5_club
CIV,MF,23,2002,26.0,2,53,23,43.4,2.04,0.88,0.04,0.09,0,0,big5_club
ENG,DF,18,2006,10.3,0,3,0,0.0,0.29,0.0,0.0,,0,0,big5_club
ENG,MF,17,2008,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
SVN,FW,22,2003,18.3,11,61,34,55.7,3.34,1.86,0.18,0.32,0,0,big5_club
